1,Robert Downey Jr.
2,Samuel L. Jackson
3,Scarlett Johansson
4,Tom Hanks
5,Bradley Cooper
6,Tom Cruise
7,Zoe Saldana
8,Chris Hemsworth
9,Chris Pratt
10,Harrison Ford
11,Chris Evans
12,Johnny Depp
13,Eddie Murphy
14,Mark Ruffalo
15,Vin Diesel
16,Jeremy Renner
17,Don Cheadle
18,Will Smith
19,Matt Damon
20,Emma Watson
21,Adam Sandler
22,Bruce Willis
23,Ben Stiller
24,Chadwick Boseman
25,Steve Carell
26,Nicolas Cage
27,Dwayne Johnson
28,Jennifer Lawrence
29,Robin Williams
30,Josh Brolin
31,Jim Carrey
32,Sandra Bullock
33,Daniel Radcliffe
34,Hugh Jackman
35,Robert De Niro
36,Liam Neeson
37,Benedict Cumberbatch
38,Leonardo DiCaprio
39,Cameron Diaz
40,Denzel Washington
41,Gwyneth Paltrow
42,Elizabeth Olsen
43,Ian McKellen
44,Rupert Grint
45,Sebastian Stan
46,Tom Hiddleston
47,Julia Roberts
48,Ben Affleck
49,Dave Bautista
50,Paul Bettany
51,Karen Gillan
52,Brad Pitt
53,John Travolta
54,Ewan McGregor
55,Mark Wahlberg
56,Danai Gurira
57,Letitia Wright
58,Owen Wilson
59,Will Ferrell
60,Morgan Freeman
61,Mel Gibson
62,Natalie Portman
63,George Clooney
64,Mike Myers
65,Sylvester Stallone
66,Christian Bale
67,Meryl Streep
68,Kevin Hart
69,Keanu Reeves
70,Ryan Reynolds
71,Pom Klementieff
72,Shia LaBeouf
73,Tim Allen
74,Tom Holland
75,Channing Tatum
76,Paul Rudd
77,Clint Eastwood
78,Kevin Costner
79,Dustin Hoffman
80,Michael Douglas
81,Benedict Wong
82,Mark Hamill
83,Adam Driver
84,Jack Black
85,Carrie Fisher
86,Arnold Schwarzenegger
87,Daisy Ridley
88,Orlando Bloom
89,John Boyega
90,Idris Elba
91,Martin Freeman
92,Kristen Stewart
93,Steve Martin
94,Reese Witherspoon
95,Bill Murray
96,Chris Pine
97,Jon Favreau
98,Nicole Kidman
99,Simon Pegg
100,Taylor Lautner